,Symbol,Security Name,Market Category,Test Issue,Financial Status,Round Lot Size,ETF,NextShares
0,AACG,"ATA Creativity Global - American Depositary Shares, each representing two common shares",G,N,N,100.0,N,N
1,AACI,Armada Acquisition Corp. I - Common Stock,G,N,N,100.0,N,N
2,AACIU,Armada Acquisition Corp. I - Unit,G,N,N,100.0,N,N
3,AACIW,Armada Acquisition Corp. I - Warrant,G,N,N,100.0,N,N
4,AADI,"Aadi Bioscience, Inc. - Common Stock",S,N,N,100.0,N,N
5,AADR,AdvisorShares Dorsey Wright ADR ETF,G,N,N,100.0,Y,N
6,AAGR,African Agriculture Holdings Inc. - Common Stock,G,N,D,100.0,N,N
7,AAGRW,African Agriculture Holdings Inc. - Warrant,G,N,D,100.0,N,N
8,AAL,"American Airlines Group, Inc. - Common Stock",Q,N,N,100.0,N,N
9,AAME,Atlantic American Corporation - Common Stock,G,N,N,100.0,N,N
10,AAOI,"Applied Optoelectronics, Inc. - Common Stock",G,N,N,100.0,N,N
11,AAON,"AAON, Inc. - Common Stock",Q,N,N,100.0,N,N
12,AAPB,GraniteShares 2x Long AAPL Daily ETF,G,N,N,100.0,Y,N
13,AAPD,Direxion Daily AAPL Bear 1X Shares,G,N,N,100.0,Y,N
14,AAPL,Apple Inc. - Common Stock,Q,N,N,100.0,N,N
15,AAPU,Direxion Daily AAPL Bull 2X Shares,G,N,N,100.0,Y,N
16,AAXJ,iShares MSCI All Country Asia ex Japan ETF,G,N,N,100.0,Y,N
17,ABAT,American Battery Technology Company - Common Stock,S,N,N,100.0,N,N
18,ABCB,Ameris Bancorp - Common Stock,Q,N,N,100.0,N,N
19,ABCL,AbCellera Biologics Inc. - Common Shares,Q,N,N,100.0,N,N
20,ABCS,Alpha Blue Capital US Small-Mid Cap Dynamic ETF,G,N,N,100.0,Y,N
21,ABEO,Abeona Therapeutics Inc. - Common Stock,S,N,N,100.0,N,N
22,ABIO,"ARCA biopharma, Inc. - Common Stock",S,N,N,100.0,N,N
23,ABL,"Abacus Life, Inc. - Class A Common Stock",S,N,N,100.0,N,N
24,ABLLL,"Abacus Life, Inc. - 9.875% Fixed Rate Senior Notes due 2028",G,N,N,100.0,N,N
25,ABLLW,"Abacus Life, Inc. - Warrant",S,N,N,100.0,N,N
26,ABLV,Able View Global Inc. - Class B Ordinary Shares,S,N,N,100.0,N,N
27,ABLVW,Able View Global Inc. - Warrant,S,N,N,100.0,N,N
28,ABNB,"Airbnb, Inc. - Class A Common Stock",Q,N,N,100.0,N,N
29,ABOS,"Acumen Pharmaceuticals, Inc. - Common Stock",Q,N,N,100.0,N,N
30,ABSI,Absci Corporation - Common Stock,Q,N,N,100.0,N,N
31,ABTS,Abits Group Inc - Ordinary Shares,S,N,N,100.0,N,N
32,ABUS,Arbutus Biopharma Corporation - Common Stock,Q,N,N,100.0,N,N
33,ABVC,"ABVC BioPharma, Inc. - Common Stock",S,N,N,100.0,N,N
34,ABVX,Abivax SA - American Depositary Shares,G,N,N,100.0,N,N
35,ACAB,Atlantic Coastal Acquisition Corp. II - Class A Common Stock,G,N,N,100.0,N,N
36,ACABU,Atlantic Coastal Acquisition Corp. II - Unit,G,N,N,100.0,N,N
37,ACABW,Atlantic Coastal Acquisition Corp. II - Warrant,G,N,N,100.0,N,N
38,ACAC,Acri Capital Acquisition Corporation - Class A Common Stock,S,N,N,100.0,N,N
39,ACACU,Acri Capital Acquisition Corporation - Unit,S,N,N,100.0,N,N
40,ACACW,Acri Capital Acquisition Corporation - Warrant,S,N,N,100.0,N,N
41,ACAD,ACADIA Pharmaceuticals Inc. - Common Stock,Q,N,N,100.0,N,N
42,ACB,Aurora Cannabis Inc. - Common Shares,S,N,N,100.0,N,N
43,ACBA,Ace Global Business Acquisition Limited - Ordinary Shares,S,N,D,100.0,N,N
44,ACBAU,Ace Global Business Acquisition Limited - Unit,S,N,D,100.0,N,N
45,ACBAW,Ace Global Business Acquisition Limited - Warrant,S,N,D,100.0,N,N
46,ACCD,"Accolade, Inc. - common stock",Q,N,N,100.0,N,N
47,ACDC,ProFrac Holding Corp. - Class A Common Stock,Q,N,N,100.0,N,N
48,ACET,"Adicet Bio, Inc. - Common Stock",G,N,N,100.0,N,N
49,ACGL,Arch Capital Group Ltd. - Common Stock,Q,N,N,100.0,N,N
50,ACGLN,"Arch Capital Group Ltd. - Depositary Shares, each Representing a 1/1,000th Interest in a 4.550% Non-Cumulative Preferred Share, Series G",Q,N,N,100.0,N,N
51,ACGLO,"Arch Capital Group Ltd. - Depositary Shares Each Representing 1/1,000th Interest in a Share of5.45% Non-Cumulative Preferred Shares, Series F",Q,N,N,100.0,N,N
52,ACHC,"Acadia Healthcare Company, Inc. - Common Stock",Q,N,N,100.0,N,N
53,ACHL,Achilles Therapeutics plc - American Depositary Shares,Q,N,N,100.0,N,N
54,ACHV,"Achieve Life Sciences, Inc.  - Common Shares",S,N,N,100.0,N,N
55,ACIC,American Coastal Insurance Corporation - Common Stock,S,N,N,100.0,N,N
56,ACIU,AC Immune SA - Common Stock,G,N,N,100.0,N,N
57,ACIW,"ACI Worldwide, Inc. - Common Stock",Q,N,N,100.0,N,N
58,ACLS,"Axcelis Technologies, Inc. - Common Stock",Q,N,N,100.0,N,N
59,ACLX,"Arcellx, Inc. - Common Stock",Q,N,N,100.0,N,N
60,ACMR,"ACM Research, Inc. - Class A Common Stock",G,N,N,100.0,N,N
61,ACNB,ACNB Corporation - Common Stock,S,N,N,100.0,N,N
62,ACNT,Ascent Industries Co. - Common Stock,G,N,N,100.0,N,N
63,ACON,"Aclarion, Inc. - Common Stock",S,N,D,100.0,N,N
64,ACONW,"Aclarion, Inc. - Warrant",S,N,N,100.0,N,N
65,ACRS,"Aclaris Therapeutics, Inc. - Common Stock",Q,N,N,100.0,N,N
66,ACRV,"Acrivon Therapeutics, Inc. - Common Stock",G,N,N,100.0,N,N
67,ACST,"Acasti Pharma, Inc.  - Class A Common Stock",S,N,N,100.0,N,N
68,ACT,"Enact Holdings, Inc. - Common Stock",Q,N,N,100.0,N,N
69,ACTG,Acacia Research Corporation - Common Stock,Q,N,N,100.0,N,N
70,ACVA,ACV Auctions Inc. - Class A Common Stock,Q,N,N,100.0,N,N
71,ACWI,iShares MSCI ACWI ETF,G,N,N,100.0,Y,N
72,ACWX,iShares MSCI ACWI ex U.S. ETF,G,N,N,100.0,Y,N
73,ACXP,"Acurx Pharmaceuticals, Inc. - Common Stock",S,N,N,100.0,N,N
74,ADAG,"Adagene Inc. - ADS, each representing 1.25 ordinary shares",G,N,N,100.0,N,N
75,ADAP,Adaptimmune Therapeutics plc - American Depositary Shares,Q,N,N,100.0,N,N
76,ADBE,Adobe Inc. - Common Stock,Q,N,N,100.0,N,N
77,ADD,"Color Star Technology Co., Ltd. - Class A Ordinary Shares",S,N,D,100.0,N,N
78,ADEA,Adeia Inc.  - Common Stock,Q,N,N,100.0,N,N
79,ADI,"Analog Devices, Inc. - Common Stock",Q,N,N,100.0,N,N
80,ADIL,"Adial Pharmaceuticals, Inc - Common Stock",S,N,N,100.0,N,N
81,ADMA,ADMA Biologics Inc - Common Stock,G,N,N,100.0,N,N
82,ADN,"Advent Technologies Holdings, Inc. - Class A Common Stock",S,N,D,100.0,N,N
83,ADNWW,"Advent Technologies Holdings, Inc. - Warrant",S,N,N,100.0,N,N
84,ADP,"Automatic Data Processing, Inc. - Common Stock",Q,N,N,100.0,N,N
85,ADPT,Adaptive Biotechnologies Corporation - Common Stock,Q,N,D,100.0,N,N
86,ADSE,ADS-TEC ENERGY PLC - Ordinary Shares,S,N,N,100.0,N,N
87,ADSEW,ADS-TEC ENERGY PLC - Warrant,S,N,N,100.0,N,N
88,ADSK,"Autodesk, Inc. - Common Stock",Q,N,N,100.0,N,N
89,ADTH,"AdTheorent Holding Company, Inc. - Common Stock",S,N,N,100.0,N,N
90,ADTHW,"AdTheorent Holding Company, Inc. - Warrants",S,N,N,100.0,N,N
91,ADTN,"ADTRAN Holdings, Inc. - Common Stock",Q,N,N,100.0,N,N
92,ADTX,"Aditxt, Inc. - Common Stock",S,N,N,100.0,N,N
93,ADUS,Addus HomeCare Corporation - Common Stock,Q,N,N,100.0,N,N
94,ADV,Advantage Solutions Inc.  - Class A Common Stock,Q,N,N,100.0,N,N
95,ADVM,"Adverum Biotechnologies, Inc. - Common Stock",S,N,N,100.0,N,N
96,ADVWW,Advantage Solutions Inc.  - Warrant,Q,N,N,100.0,N,N
97,ADXN,Addex Therapeutics Ltd - American Depositary Shares,S,N,N,100.0,N,N
98,AEAE,AltEnergy Acquisition Corp. - Class A Common Stock,G,N,D,100.0,N,N
99,AEAEU,AltEnergy Acquisition Corp. - Unit,G,N,N,100.0,N,N
100,AEAEW,AltEnergy Acquisition Corp. - Warrant,G,N,N,100.0,N,N
101,AEHL,Antelope Enterprise Holdings Limited - Class A Ordinary Shares,S,N,N,100.0,N,N
102,AEHR,Aehr Test Systems - Common Stock,S,N,N,100.0,N,N
103,AEI,Alset Inc. - Common Stock,S,N,N,100.0,N,N
104,AEIS,"Advanced Energy Industries, Inc. - Common Stock",Q,N,N,100.0,N,N
105,AEMD,"Aethlon Medical, Inc. - Common Stock",S,N,N,100.0,N,N
106,AENT,Alliance Entertainment Holding Corporation - common stock,S,N,N,100.0,N,N
107,AENTW,Alliance Entertainment Holding Corporation - Warrants,S,N,N,100.0,N,N
108,AEP,"American Electric Power Company, Inc. - Common Stock",Q,N,N,100.0,N,N
109,AERT,"Aeries Technology, Inc. - Class A Ordinary Share",S,N,N,100.0,N,N
110,AERTW,"Aeries Technology, Inc. - Warrant",S,N,N,100.0,N,N
111,AEYE,"AudioEye, Inc. - Common Stock",S,N,N,100.0,N,N
112,AEZS,Aeterna Zentaris Inc. - Common Stock,S,N,N,100.0,N,N
113,AFAR,Aura FAT Projects Acquisition Corp - Class A Ordinary Shares,G,N,D,100.0,N,N
114,AFARU,Aura FAT Projects Acquisition Corp - Unit,G,N,D,100.0,N,N
115,AFARW,Aura FAT Projects Acquisition Corp - Warrant,G,N,D,100.0,N,N
116,AFBI,"Affinity Bancshares, Inc. - Common Stock",S,N,N,100.0,N,N
